PC=0000000000000090, REG[ 0]=000000000000018d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=c7d1dbc49895fb40
PC=0000000000000064, REG[10]=c7d1dbc4a3e64b3d
PC=0000000000000068, REG[11]=6e1810d333424b49
PC=000000000000006c, REG[11]=6e1810d33e929b46
PC=0000000000000070, REG[12]=f654455a4bc3942e
PC=0000000000000074, REG[12]=f654455a5713e42b
PC=0000000000000078, REG[ 1]=ba45b9c746160e7f
PC=000000000000007c, REG[ 1]=ba45b9c751665e7c
PC=0000000000000080, REG[12]=00000000f654455a
PC=0000000000000084, REG[13]=00000000ba45b9c7
PC=0000000000000088, REG[ 0]=00000000000001ad
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=00000000000001cd
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=4b1dbf8e2c60a08c
PC=0000000000000064, REG[10]=4b1dbf8e37b0f089
PC=0000000000000068, REG[11]=c880676a4c6be765
PC=000000000000006c, REG[11]=c880676a57bc3762
PC=0000000000000070, REG[12]=a3034110dc761bda
PC=0000000000000074, REG[12]=a3034110e7c66bd7
PC=0000000000000078, REG[10]=000000004b1dbf8e
PC=000000000000007c, REG[11]=00000000c880676a
PC=0000000000000080, REG[10]=0000000000000000
PC=0000000000000084, REG[11]=0000000000000000
PC=0000000000000088, REG[ 0]=00000000000001ed
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000020d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=4b1dbf8e2c60a08c
PC=0000000000000064, REG[10]=4b1dbf8e37b0f089
PC=0000000000000068, REG[11]=c880676a4c6be765
PC=000000000000006c, REG[11]=c880676a57bc3762
PC=0000000000000070, REG[12]=a3034110dc761bda
PC=0000000000000074, REG[12]=a3034110e7c66bd7
PC=0000000000000078, REG[ 1]=677e6d7ffe0c637b
PC=000000000000007c, REG[ 1]=677e6d80095cb378
PC=0000000000000080, REG[12]=00000000a3034110
PC=0000000000000084, REG[13]=00000000677e6d80
PC=0000000000000088, REG[ 0]=000000000000022d
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000024d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=72615e28a67fdd98
PC=0000000000000064, REG[10]=72615e28b1d02d95
PC=0000000000000068, REG[11]=54c5c97dc3837c41
PC=000000000000006c, REG[11]=54c5c97dced3cc3e
PC=0000000000000070, REG[12]=24d5258c205b7946
PC=0000000000000074, REG[12]=24d5258c2babc943
PC=0000000000000078, REG[10]=0000000072615e28
PC=000000000000007c, REG[11]=0000000054c5c97d
PC=0000000000000080, REG[10]=0000000000000000
PC=0000000000000084, REG[11]=0000000000000000
PC=0000000000000088, REG[ 0]=000000000000026d
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000028d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=72615e28a67fdd98
PC=0000000000000064, REG[10]=72615e28b1d02d95
PC=0000000000000068, REG[11]=54c5c97dc3837c41
PC=000000000000006c, REG[11]=54c5c97dced3cc3e
PC=0000000000000070, REG[12]=24d5258c205b7946
PC=0000000000000074, REG[12]=24d5258c2babc943
PC=0000000000000078, REG[ 1]=ff4df2fbf633f737
PC=000000000000007c, REG[ 1]=ff4df2fc01844734
PC=0000000000000080, REG[12]=0000000024d5258c
PC=0000000000000084, REG[13]=00000000ff4df2fc
PC=0000000000000088, REG[ 0]=00000000000002ad
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=00000000000002cd
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
